word,neg_tf,bdc,neg_tf_bdc
高度,33.25,0.09,3.02
买,241.07,0.01,3.01
其次,20.78,0.14,3.01
稳,16.63,0.18,3.01
蛮,16.63,0.18,3.01
马上,16.63,0.18,3.01
支撑,12.47,0.24,3.01
此外,20.78,0.14,3
槽,20.78,0.14,3
始终,16.63,0.18,2.99
难道,16.63,0.18,2.99
小,145.48,0.02,2.98
吸引,8.31,0.36,2.98
可是,33.25,0.09,2.97
suv,20.78,0.14,2.97
脸,8.31,0.36,2.97
避免,8.31,0.35,2.95
路上,37.41,0.08,2.94
电话,24.94,0.12,2.94
够,8.31,0.35,2.94
坐直,4.16,0.71,2.94
总会,4.16,0.71,2.94
资产,4.16,0.71,2.94
追随,4.16,0.71,2.94
追溯到,4.16,0.71,2.94
装上,4.16,0.71,2.94
州,4.16,0.71,2.94
重启,4.16,0.71,2.94
众化,4.16,0.71,2.94
中枪,4.16,0.71,2.94
中丐,4.16,0.71,2.94
纸糊,4.16,0.71,2.94
直立,4.16,0.71,2.94
只管,4.16,0.71,2.94
支付,4.16,0.71,2.94
支出,4.16,0.71,2.94
证书,4.16,0.71,2.94
斟酌,4.16,0.71,2.94
着急,4.16,0.71,2.94
着火,4.16,0.71,2.94
这样一来,4.16,0.71,2.94
这两台,4.16,0.71,2.94
照搬,4.16,0.71,2.94
招呼,4.16,0.71,2.94
战绩,4.16,0.71,2.94
债务,4.16,0.71,2.94
在我心中,4.16,0.71,2.94
在结构上,4.16,0.71,2.94
原配,4.16,0.71,2.94
原谅,4.16,0.71,2.94
愈加,4.16,0.71,2.94
预言家,4.16,0.71,2.94
雨雾,4.16,0.71,2.94
右前方,4.16,0.71,2.94
有如,4.16,0.71,2.94
有趣,4.16,0.71,2.94
友,4.16,0.71,2.94
游丝,4.16,0.71,2.94
用材,4.16,0.71,2.94
阴影,4.16,0.71,2.94
移步,4.16,0.71,2.94
一心一意,4.16,0.71,2.94
耀动,4.16,0.71,2.94
羊角,4.16,0.71,2.94
羊,4.16,0.71,2.94
严实,4.16,0.71,2.94
亚马逊,4.16,0.71,2.94
压缩,4.16,0.71,2.94
学车,4.16,0.71,2.94
需不需要,4.16,0.71,2.94
虚高,4.16,0.71,2.94
醒悟,4.16,0.71,2.94
星巴克,4.16,0.71,2.94
新购,4.16,0.71,2.94
心有余悸,4.16,0.71,2.94
心理准备,4.16,0.71,2.94
泄露,4.16,0.71,2.94
小三角,4.16,0.71,2.94
小路,4.16,0.71,2.94
小吃,4.16,0.71,2.94
相差近,4.16,0.71,2.94
险,4.16,0.71,2.94
嫌弃,4.16,0.71,2.94
惜,4.16,0.71,2.94
误以为,4.16,0.71,2.94
无损,4.16,0.71,2.94
无解,4.16,0.71,2.94
无法忍受,4.16,0.71,2.94
污染,4.16,0.71,2.94
问到,4.16,0.71,2.94
位数,4.16,0.71,2.94
伟业,4.16,0.71,2.94
维修中心,4.16,0.71,2.94
维修站,4.16,0.71,2.94
维修费,4.16,0.71,2.94
脱胶,4.16,0.71,2.94
托儿,4.16,0.71,2.94
托底,4.16,0.71,2.94
颓势,4.16,0.71,2.94
推送,4.16,0.71,2.94
偷懒,4.16,0.71,2.94
通行,4.16,0.71,2.94
听歌,4.16,0.71,2.94
铁路,4.16,0.71,2.94
添加剂,4.16,0.71,2.94
天文数字,4.16,0.71,2.94
倘若,4.16,0.71,2.94
太多,4.16,0.71,2.94
台里,4.16,0.71,2.94
所不,4.16,0.71,2.94
伺候,4.16,0.71,2.94
死机,4.16,0.71,2.94
试一下,4.16,0.71,2.94
式微,4.16,0.71,2.94
屎,4.16,0.71,2.94
时利,4.16,0.71,2.94
深思熟虑,4.16,0.71,2.94
身世,4.16,0.71,2.94
涉嫌,4.16,0.71,2.94
射程,4.16,0.71,2.94
舍弃,4.16,0.71,2.94
舍不得,4.16,0.71,2.94
上月,4.16,0.71,2.94
商城,4.16,0.71,2.94
伤心,4.16,0.71,2.94
晒晒,4.16,0.71,2.94
傻子,4.16,0.71,2.94
色,4.16,0.71,2.94
三元催化,4.16,0.71,2.94
锐减,4.16,0.71,2.94
软质,4.16,0.71,2.94
软肋,4.16,0.71,2.94
缺失,4.16,0.71,2.94
求解,4.16,0.71,2.94
庆,4.16,0.71,2.94
强生,4.16,0.71,2.94
前头,4.16,0.71,2.94
前边,4.16,0.71,2.94
起诉,4.16,0.71,2.94
起跑线,4.16,0.71,2.94
旗号,4.16,0.71,2.94
破裂,4.16,0.71,2.94
破烂不堪,4.16,0.71,2.94
破烂,4.16,0.71,2.94
疲软,4.16,0.71,2.94
咆哮,4.16,0.71,2.94
年前,4.16,0.71,2.94
内饰件,4.16,0.71,2.94
内幕,4.16,0.71,2.94
南阳,4.16,0.71,2.94
呐,4.16,0.71,2.94
命运,4.16,0.71,2.94
灭火器,4.16,0.71,2.94
面目全非,4.16,0.71,2.94
密封条,4.16,0.71,2.94
妹纸,4.16,0.71,2.94
美国司法部,4.16,0.71,2.94
没力,4.16,0.71,2.94
没劲,4.16,0.71,2.94
漫长,4.16,0.71,2.94
卖出去,4.16,0.71,2.94
麦克风,4.16,0.71,2.94
妈呀,4.16,0.71,2.94
露天,4.16,0.71,2.94
路噪,4.16,0.71,2.94
领导人,4.16,0.71,2.94
零配件,4.16,0.71,2.94
邻居,4.16,0.71,2.94
亮灯,4.16,0.71,2.94
两者之间,4.16,0.71,2.94
了高,4.16,0.71,2.94
牢,4.16,0.71,2.94
苦涩,4.16,0.71,2.94
口子,4.16,0.71,2.94
口哨声,4.16,0.71,2.94
空调车,4.16,0.71,2.94
颗粒,4.16,0.71,2.94
考虑一下,4.16,0.71,2.94
聚丰,4.16,0.71,2.94
剧烈,4.16,0.71,2.94
井喷,4.16,0.71,2.94
经常出现,4.16,0.71,2.94
金融危机,4.16,0.71,2.94
解决问题,4.16,0.71,2.94
降挡,4.16,0.71,2.94
驾过,4.16,0.71,2.94
加重,4.16,0.71,2.94
加塞,4.16,0.71,2.94
加满,4.16,0.71,2.94
技术人员,4.16,0.71,2.94
基础设施,4.16,0.71,2.94
积水,4.16,0.71,2.94
换件,4.16,0.71,2.94
换到,4.16,0.71,2.94
画质,4.16,0.71,2.94
呼吁,4.16,0.71,2.94
后驱,4.16,0.71,2.94
后程,4.16,0.71,2.94
后车,4.16,0.71,2.94
后才,4.16,0.71,2.94
轰鸣声,4.16,0.71,2.94
很轻,4.16,0.71,2.94
很低,4.16,0.71,2.94
黑烟,4.16,0.71,2.94
何以,4.16,0.71,2.94
何时,4.16,0.71,2.94
行不行,4.16,0.71,2.94
含有,4.16,0.71,2.94
国际贸易,4.16,0.71,2.94
闺蜜,4.16,0.71,2.94
管用,4.16,0.71,2.94
怪,4.16,0.71,2.94
够买,4.16,0.71,2.94
供货,4.16,0.71,2.94
工会,4.16,0.71,2.94
跟进,4.16,0.71,2.94
高音喇叭,4.16,0.71,2.94
刚一,4.16,0.71,2.94
福建,4.16,0.71,2.94
服务公司,4.16,0.71,2.94
否决,4.16,0.71,2.94
封闭,4.16,0.71,2.94
风起云涌,4.16,0.71,2.94
反应速度,4.16,0.71,2.94
发烫,4.16,0.71,2.94
发来,4.16,0.71,2.94
发回,4.16,0.71,2.94
兑现,4.16,0.71,2.94
断断续续,4.16,0.71,2.94
动弹,4.16,0.71,2.94
跌势,4.16,0.71,2.94
跌出,4.16,0.71,2.94
吊打,4.16,0.71,2.94
道歉,4.16,0.71,2.94
倒数,4.16,0.71,2.94
淡淡的,4.16,0.71,2.94
单单,4.16,0.71,2.94
大跌,4.16,0.71,2.94
匆忙,4.16,0.71,2.94
传来,4.16,0.71,2.94
踹,4.16,0.71,2.94
出到,4.16,0.71,2.94
抽到,4.16,0.71,2.94
尺码,4.16,0.71,2.94
迟缓,4.16,0.71,2.94
吃不消,4.16,0.71,2.94
撑死,4.16,0.71,2.94
晨,4.16,0.71,2.94
车质,4.16,0.71,2.94
车检,4.16,0.71,2.94
厂家直销,4.16,0.71,2.94
差一点,4.16,0.71,2.94
查找,4.16,0.71,2.94
岑木,4.16,0.71,2.94
侧方,4.16,0.71,2.94
步进,4.16,0.71,2.94
不知不觉,4.16,0.71,2.94
不配,4.16,0.71,2.94
不理,4.16,0.71,2.94
不靠,4.16,0.71,2.94
不当,4.16,0.71,2.94
不必要,4.16,0.71,2.94
补过,4.16,0.71,2.94
并购,4.16,0.71,2.94
变硬,4.16,0.71,2.94
爆炸,4.16,0.71,2.94
保姆,4.16,0.71,2.94
办成,4.16,0.71,2.94
钣,4.16,0.71,2.94
百度搜,4.16,0.71,2.94
白白,4.16,0.71,2.94
简单,16.63,0.18,2.93
反应,16.63,0.18,2.92
这个,199.51,0.01,2.91
其它,29.1,0.1,2.91
使得,8.31,0.35,2.9
感受,16.63,0.17,2.87
总,41.56,0.07,2.86
及,24.94,0.11,2.86
来,66.5,0.04,2.85
看到,37.41,0.08,2.85
上半年,16.63,0.17,2.85
漆面,12.47,0.23,2.85
驾驶座,12.47,0.23,2.85
所,12.47,0.23,2.84
扶手,16.63,0.17,2.82
颠簸,16.63,0.17,2.82
文案,8.31,0.34,2.82
尾灯,8.31,0.34,2.82
所有人,8.31,0.34,2.82
甩,8.31,0.34,2.82
猛,8.31,0.34,2.82
冷却液,8.31,0.34,2.82
拉皮,8.31,0.34,2.82
紧张,8.31,0.34,2.82
差速器,8.31,0.34,2.82
不让,8.31,0.34,2.82
别扭,8.31,0.34,2.82
边缘,8.31,0.34,2.82
板块,8.31,0.34,2.82
正式,8.31,0.34,2.81
个人,33.25,0.08,2.8
最为,8.31,0.34,2.79
排气管,20.78,0.13,2.78
拨,20.78,0.13,2.78
简洁,8.31,0.33,2.78
考虑,66.5,0.04,2.77
没得说,16.63,0.17,2.77
恐怕,12.47,0.22,2.76
缝隙,12.47,0.22,2.76
摆在,12.47,0.22,2.76
国内,45.72,0.06,2.74
专营店,12.47,0.22,2.72
可靠,16.63,0.16,2.7
丑,12.47,0.22,2.69
年轻人,8.31,0.32,2.68
武汉,12.47,0.21,2.66
前排,12.47,0.21,2.66
补贴,12.47,0.21,2.66
平时,24.94,0.11,2.65
雾灯,29.1,0.09,2.63
乘客,8.31,0.32,2.63
速度,37.41,0.07,2.62
距离,8.31,0.31,2.62
看上去,16.63,0.16,2.61
令,12.47,0.21,2.6
这车,29.1,0.09,2.59
制动,12.47,0.21,2.59
容积,12.47,0.21,2.59
不但,12.47,0.21,2.59
动感,4.16,0.62,2.59
用于,16.63,0.15,2.56
新,195.35,0.01,2.55
隔音,41.56,0.06,2.55
的确,12.47,0.2,2.55
线路,8.31,0.31,2.55
好歹,8.31,0.31,2.55
关门,8.31,0.31,2.55
不远,8.31,0.31,2.55
硬,33.25,0.08,2.54
节能,16.63,0.15,2.54
适合,24.94,0.1,2.53
腿部,8.31,0.3,2.52
突出,8.31,0.3,2.52
所以,124.69,0.02,2.51
方向,41.56,0.06,2.51
尾部,16.63,0.15,2.51
状态,24.94,0.1,2.5
领先,8.31,0.3,2.49
有效,4.16,0.6,2.49
公司,66.5,0.04,2.48
大气,4.16,0.6,2.48
路面,20.78,0.12,2.47
打算,29.1,0.08,2.46
个人感觉,16.63,0.15,2.45
退市,8.31,0.3,2.45
田,8.31,0.3,2.45
美国市场,8.31,0.3,2.45
乐观,8.31,0.3,2.45
干式,8.31,0.3,2.45
费用,8.31,0.3,2.45
对此,8.31,0.3,2.45
边,8.31,0.3,2.45
他,62.35,0.04,2.44
同样,37.41,0.07,2.44
做好,12.47,0.2,2.44
原本,12.47,0.2,2.44
旧,12.47,0.2,2.44
大街,12.47,0.2,2.44
反映,12.47,0.19,2.43
宝马车,12.47,0.19,2.43
驾乘,4.16,0.58,2.43
请,29.1,0.08,2.42
不是,149.63,0.02,2.4
中控台,20.78,0.12,2.4
当然,20.78,0.12,2.4
抬,8.31,0.29,2.4
商用,8.31,0.29,2.4
前大灯,8.31,0.29,2.4
前部,8.31,0.29,2.4
皮卡车,8.31,0.29,2.4
大脚,8.31,0.29,2.4
粗犷,8.31,0.29,2.4
停产,20.78,0.11,2.39
爱,16.63,0.14,2.39
款车,45.72,0.05,2.38
作弊,4.16,0.57,2.38
左转,4.16,0.57,2.38
最起码,4.16,0.57,2.38
自费,4.16,0.57,2.38
自动波,4.16,0.57,2.38
指示灯,4.16,0.57,2.38
执掌,4.16,0.57,2.38
真人秀,4.16,0.57,2.38
占到,4.16,0.57,2.38
遭,4.16,0.57,2.38
再往,4.16,0.57,2.38
越来越少,4.16,0.57,2.38
一刹那,4.16,0.57,2.38
要数,4.16,0.57,2.38
亚太,4.16,0.57,2.38
押金,4.16,0.57,2.38
续保,4.16,0.57,2.38
新版,4.16,0.57,2.38
想加,4.16,0.57,2.38
线圈,4.16,0.57,2.38
限速,4.16,0.57,2.38
喜力,4.16,0.57,2.38
维尼,4.16,0.57,2.38
微软,4.16,0.57,2.38
威佳,4.16,0.57,2.38
通电,4.16,0.57,2.38
听音,4.16,0.57,2.38
铁皮,4.16,0.57,2.38
题外话,4.16,0.57,2.38
腾达,4.16,0.57,2.38
泰国,4.16,0.57,2.38
耍流氓,4.16,0.57,2.38
市内,4.16,0.57,2.38
升窗,4.16,0.57,2.38
上周,4.16,0.57,2.38
闪灯,4.16,0.57,2.38
日趋激烈,4.16,0.57,2.38
日渐,4.16,0.57,2.38
热线,4.16,0.57,2.38
清一色,4.16,0.57,2.38
前一天,4.16,0.57,2.38
起色,4.16,0.57,2.38
评估师,4.16,0.57,2.38
频发,4.16,0.57,2.38
偏弱,4.16,0.57,2.38
诺,4.16,0.57,2.38
您好,4.16,0.57,2.38
奈何,4.16,0.57,2.38
穆勒,4.16,0.57,2.38
模糊,4.16,0.57,2.38
门锁,4.16,0.57,2.38
露出,4.16,0.57,2.38
龙,4.16,0.57,2.38
梁非,4.16,0.57,2.38
泪,4.16,0.57,2.38
老婆大人,4.16,0.57,2.38
亏,4.16,0.57,2.38
看完,4.16,0.57,2.38
坎,4.16,0.57,2.38
堪忧,4.16,0.57,2.38
军团,4.16,0.57,2.38
巨额,4.16,0.57,2.38
九代,4.16,0.57,2.38
杰,4.16,0.57,2.38
较快,4.16,0.57,2.38
缓慢,4.16,0.57,2.38
鸿,4.16,0.57,2.38
很慢,4.16,0.57,2.38
挂到,4.16,0.57,2.38
股权,4.16,0.57,2.38
给换,4.16,0.57,2.38
丐,4.16,0.57,2.38
冯,4.16,0.57,2.38
发给,4.16,0.57,2.38
兜风,4.16,0.57,2.38
掉落,4.16,0.57,2.38
店员,4.16,0.57,2.38
电眼,4.16,0.57,2.38
电瓶车,4.16,0.57,2.38
倒车灯,4.16,0.57,2.38
导购,4.16,0.57,2.38
大能,4.16,0.57,2.38
赐教,4.16,0.57,2.38
储物箱,4.16,0.57,2.38
城里,4.16,0.57,2.38
拆下来,4.16,0.57,2.38
仓,4.16,0.57,2.38
不上,4.16,0.57,2.38
并不需要,4.16,0.57,2.38
本车,4.16,0.57,2.38
保险丝,4.16,0.57,2.38
霸王,4.16,0.57,2.38
案件,4.16,0.57,2.38
安卓大屏,4.16,0.57,2.38
花,29.1,0.08,2.36
识别,20.78,0.11,2.36
力,45.72,0.05,2.35
镀铬,8.31,0.28,2.35
依然,8.31,0.28,2.34
评,8.31,0.28,2.34
不会,66.5,0.04,2.33
使用,54.03,0.04,2.33
进行,24.94,0.09,2.33
彻底,16.63,0.14,2.32
到位,12.47,0.19,2.32
很漂亮,4.16,0.56,2.31
氛围,4.16,0.56,2.31
这点,12.47,0.18,2.3
另外,29.1,0.08,2.29
传感器,12.47,0.18,2.29
犀利,8.31,0.28,2.29
赞,4.16,0.55,2.29
详细,12.47,0.18,2.28
尾门,12.47,0.18,2.28
结束,12.47,0.18,2.28
后者,12.47,0.18,2.28
路况,8.31,0.27,2.28
推背,12.47,0.18,2.27
健康,8.31,0.27,2.27
减,8.31,0.27,2.27
感强,8.31,0.27,2.27
聪明,8.31,0.27,2.27
出去玩,8.31,0.27,2.27
以后,45.72,0.05,2.25
出行,12.47,0.18,2.25
好感,12.47,0.18,2.24
奥迪车,8.31,0.27,2.24
破,16.63,0.13,2.22
踩油门,16.63,0.13,2.22
合资,33.25,0.07,2.21
更好,20.78,0.11,2.21
突破,8.31,0.27,2.2
皮实,8.31,0.26,2.2
操控性,4.16,0.53,2.2
厂商,24.94,0.09,2.19
电动,29.1,0.07,2.18
锁,12.47,0.17,2.18
麻烦,12.47,0.17,2.18
气质,4.16,0.52,2.18
流畅,4.16,0.52,2.18
乐趣,12.47,0.17,2.17
星期,8.31,0.26,2.17
小弟,8.31,0.26,2.17
维护,8.31,0.26,2.17
某些,8.31,0.26,2.17
横向,8.31,0.26,2.17
个性,8.31,0.26,2.17
安静,8.31,0.26,2.17
审美,4.16,0.52,2.17
放,33.25,0.06,2.16
平台,12.47,0.17,2.16
装饰,12.47,0.17,2.15
算是,12.47,0.17,2.15
不过,108.07,0.02,2.14
帖子,12.47,0.17,2.14
硬朗,4.16,0.51,2.13
强大,4.16,0.51,2.13
沉稳,4.16,0.51,2.13
提高,16.63,0.13,2.12
里面,24.94,0.08,2.1
并且,20.78,0.1,2.1
车头,8.31,0.25,2.1
外,12.47,0.17,2.09
乘坐,4.16,0.5,2.09
…,41.56,0.05,2.08
真皮,8.31,0.25,2.08
规整,4.16,0.5,2.08
圆润,8.31,0.25,2.07
推出,8.31,0.25,2.07
微信,4.16,0.5,2.07
容易,24.94,0.08,2.06
处,16.63,0.12,2.06
经历,8.31,0.25,2.06
走不动,4.16,0.5,2.06
中空,4.16,0.5,2.06
中断,4.16,0.5,2.06
致命,4.16,0.5,2.06
制动器,4.16,0.5,2.06
着重,4.16,0.5,2.06
折射出,4.16,0.5,2.06
罩盖,4.16,0.5,2.06
长脸,4.16,0.5,2.06
战斗机,4.16,0.5,2.06
越来越快,4.16,0.5,2.06
与日俱增,4.16,0.5,2.06
有外媒,4.16,0.5,2.06
油泥,4.16,0.5,2.06
引来,4.16,0.5,2.06
一律,4.16,0.5,2.06
要比,4.16,0.5,2.06
扬,4.16,0.5,2.06
新内饰,4.16,0.5,2.06
相互,4.16,0.5,2.06
陷入,4.16,0.5,2.06
下部,4.16,0.5,2.06
万能,4.16,0.5,2.06
拖拉,4.16,0.5,2.06
推移,4.16,0.5,2.06
推销,4.16,0.5,2.06
涂层,4.16,0.5,2.06
胎噪大,4.16,0.5,2.06
死板,4.16,0.5,2.06
市场策略,4.16,0.5,2.06
升档,4.16,0.5,2.06
舍,4.16,0.5,2.06
尚版,4.16,0.5,2.06
上劲,4.16,0.5,2.06
三位数,4.16,0.5,2.06
弱点,4.16,0.5,2.06
肉人,4.16,0.5,2.06
肉车,4.16,0.5,2.06
饶,4.16,0.5,2.06
情节,4.16,0.5,2.06
敲打,4.16,0.5,2.06
跑跑,4.16,0.5,2.06
娘,4.16,0.5,2.06
内核,4.16,0.5,2.06
南方,4.16,0.5,2.06
那俩,4.16,0.5,2.06
名声在外,4.16,0.5,2.06
名列,4.16,0.5,2.06
没能,4.16,0.5,2.06
率仅,4.16,0.5,2.06
令人满意,4.16,0.5,2.06
丽,4.16,0.5,2.06
勒,4.16,0.5,2.06
老爷子,4.16,0.5,2.06
老眼光,4.16,0.5,2.06
老将,4.16,0.5,2.06
蜡,4.16,0.5,2.06
款款,4.16,0.5,2.06
考驾照,4.16,0.5,2.06
看官,4.16,0.5,2.06
开多,4.16,0.5,2.06
决定性,4.16,0.5,2.06
进气门,4.16,0.5,2.06
紧,4.16,0.5,2.06
姐妹,4.16,0.5,2.06
渐,4.16,0.5,2.06
价格低,4.16,0.5,2.06
加分,4.16,0.5,2.06
机缘巧合,4.16,0.5,2.06
回购,4.16,0.5,2.06
哗哗,4.16,0.5,2.06
后段,4.16,0.5,2.06
很软,4.16,0.5,2.06
过关,4.16,0.5,2.06
规规矩矩,4.16,0.5,2.06
共鸣,4.16,0.5,2.06
拱,4.16,0.5,2.06
跟上,4.16,0.5,2.06
改不掉,4.16,0.5,2.06
丰满,4.16,0.5,2.06
放不下,4.16,0.5,2.06
反响,4.16,0.5,2.06
凡是,4.16,0.5,2.06
乏力,4.16,0.5,2.06
二氧化碳,4.16,0.5,2.06
多谢,4.16,0.5,2.06
短板,4.16,0.5,2.06
订制,4.16,0.5,2.06
低迷,4.16,0.5,2.06
刀切,4.16,0.5,2.06
淡雅,4.16,0.5,2.06
带到,4.16,0.5,2.06
呆,4.16,0.5,2.06
大油,4.16,0.5,2.06
挫,4.16,0.5,2.06
纯属,4.16,0.5,2.06
愁,4.16,0.5,2.06
崇尚,4.16,0.5,2.06
尺度,4.16,0.5,2.06
彻底解决,4.16,0.5,2.06
车皮,4.16,0.5,2.06
不选,4.16,0.5,2.06
不掉,4.16,0.5,2.06
比同,4.16,0.5,2.06
比的,4.16,0.5,2.06
棒极了,4.16,0.5,2.06
按说,4.16,0.5,2.06
哎哟,4.16,0.5,2.06
哎呀,4.16,0.5,2.06
算,37.41,0.05,2.05
反正,16.63,0.12,2.05
总计,4.16,0.49,2.05
注册,4.16,0.49,2.05
主人,4.16,0.49,2.05
中途,4.16,0.49,2.05
指望,4.16,0.49,2.05
证,4.16,0.49,2.05
正确,4.16,0.49,2.05
拯救,4.16,0.49,2.05
真要,4.16,0.49,2.05
圆,4.16,0.49,2.05
预留,4.16,0.49,2.05
鱼,4.16,0.49,2.05
逸,4.16,0.49,2.05
协商,4.16,0.49,2.05
限制,4.16,0.49,2.05
先天,4.16,0.49,2.05
喜爱,4.16,0.49,2.05
无感,4.16,0.49,2.05
蜗牛,4.16,0.49,2.05
温柔,4.16,0.49,2.05
未能,4.16,0.49,2.05
所在地,4.16,0.49,2.05
松,4.16,0.49,2.05
手上,4.16,0.49,2.05
慎重,4.16,0.49,2.05
神坛,4.16,0.49,2.05
杀入,4.16,0.49,2.05
赛车手,4.16,0.49,2.05
前两天,4.16,0.49,2.05
千篇一律,4.16,0.49,2.05
卖车,4.16,0.49,2.05
买不到,4.16,0.49,2.05
绿地,4.16,0.49,2.05
林肯车,4.16,0.49,2.05
老妈,4.16,0.49,2.05
框架,4.16,0.49,2.05
教练,4.16,0.49,2.05
浇,4.16,0.49,2.05
急刹车,4.16,0.49,2.05
机动车,4.16,0.49,2.05
晃,4.16,0.49,2.05
话说回来,4.16,0.49,2.05
合约,4.16,0.49,2.05
关联,4.16,0.49,2.05
感冒,4.16,0.49,2.05
阜阳,4.16,0.49,2.05
风险,4.16,0.49,2.05
非要,4.16,0.49,2.05
反对,4.16,0.49,2.05
电器,4.16,0.49,2.05
导航仪,4.16,0.49,2.05
打着,4.16,0.49,2.05
出色,4.16,0.49,2.05
骋,4.16,0.49,2.05
车漆,4.16,0.49,2.05
车底,4.16,0.49,2.05
不起,4.16,0.49,2.05
不快,4.16,0.49,2.05
不好意思,4.16,0.49,2.05
别克4S店,4.16,0.49,2.05
标榜,4.16,0.49,2.05
保守,4.16,0.49,2.05
证明,12.47,0.16,2.04
显,12.47,0.16,2.04
则,29.1,0.07,2.03
外观设计,4.16,0.49,2.03
压力,24.94,0.08,2.02
打开,24.94,0.08,2.02
座位,12.47,0.16,2.02
底,12.47,0.16,2.02
后视镜,16.63,0.12,2.01
目前,12.47,0.16,2.01
丰富,4.16,0.48,2.01
大神,16.63,0.12,2
像,74.82,0.03,1.99
位置,8.31,0.24,1.99
满载,12.47,0.16,1.98
金属,12.47,0.16,1.98
缘故,8.31,0.24,1.98
老款,8.31,0.24,1.98
贴心,4.16,0.48,1.98
不仅,4.16,0.48,1.98
关系,16.63,0.12,1.97
不用,12.47,0.16,1.97
综合,8.31,0.24,1.97
自带,8.31,0.24,1.96
指点,8.31,0.24,1.96
真空,8.31,0.24,1.96
噪声,8.31,0.24,1.96
油漆,8.31,0.24,1.96
亚军,8.31,0.24,1.96
太贵,8.31,0.24,1.96
身体,8.31,0.24,1.96
此车,8.31,0.24,1.96
不住,8.31,0.24,1.96
天,16.63,0.12,1.95
实力,4.16,0.47,1.95
无论是,4.16,0.47,1.94
自信,12.47,0.15,1.93
转弯,12.47,0.15,1.93
重要,8.31,0.23,1.93
到,203.67,0.01,1.92
够用,12.47,0.15,1.92
燃油,8.31,0.23,1.92
超车,20.78,0.09,1.91
这方面,16.63,0.11,1.91
身材,12.47,0.15,1.91
获悉,8.31,0.23,1.91
以来,20.78,0.09,1.9
塑料,20.78,0.09,1.9
精准,4.16,0.46,1.9
系车,29.1,0.07,1.89
哈哈,12.47,0.15,1.89
标准,12.47,0.15,1.88
级车,8.31,0.23,1.88
得益于,4.16,0.45,1.88
饰,8.31,0.22,1.86
地板,8.31,0.22,1.86
任何,24.94,0.07,1.85
增压,20.78,0.09,1.85
进,20.78,0.09,1.85
掉,16.63,0.11,1.85
车尾,12.47,0.15,1.85
拥有,4.16,0.45,1.85
做,112.22,0.02,1.84
游戏,4.16,0.44,1.84
意向,4.16,0.44,1.84
义乌,4.16,0.44,1.84
盐城,4.16,0.44,1.84
幸运,4.16,0.44,1.84
心想,4.16,0.44,1.84
香港,4.16,0.44,1.84
细,4.16,0.44,1.84
温州,4.16,0.44,1.84
为准,4.16,0.44,1.84
拖拉机,4.16,0.44,1.84
三围,4.16,0.44,1.84
瑞,4.16,0.44,1.84
认,4.16,0.44,1.84
前天,4.16,0.44,1.84
皮带,4.16,0.44,1.84
连为一体,4.16,0.44,1.84
狂,4.16,0.44,1.84
尽可能,4.16,0.44,1.84
鸡肋,4.16,0.44,1.84
机制,4.16,0.44,1.84
换掉,4.16,0.44,1.84
官网,4.16,0.44,1.84
杠,4.16,0.44,1.84
发票,4.16,0.44,1.84
底特律,4.16,0.44,1.84
车管所,4.16,0.44,1.84
不禁,4.16,0.44,1.84
不大,4.16,0.44,1.84
本周,4.16,0.44,1.84
安,4.16,0.44,1.84
碰撞,12.47,0.15,1.83
可靠性,12.47,0.15,1.83
看着,16.63,0.11,1.82
视频,8.31,0.22,1.82
店,29.1,0.06,1.81
悬架,12.47,0.15,1.81
良好,4.16,0.44,1.81
估计,29.1,0.06,1.8
手套,8.31,0.22,1.8
视角,8.31,0.22,1.8
每,37.41,0.05,1.79
间隙,12.47,0.14,1.79
状况,8.31,0.21,1.79
指标,8.31,0.22,1.79
易,8.31,0.22,1.79
缺乏,8.31,0.22,1.79
均匀,8.31,0.21,1.79
局促,8.31,0.22,1.79
极其,8.31,0.21,1.79
对方,8.31,0.22,1.79
比较满意,8.31,0.21,1.79
认为,37.41,0.05,1.78
怎么样,8.31,0.21,1.78
宽大,4.16,0.43,1.78
生产,45.72,0.04,1.77
以前,37.41,0.05,1.77
踏板,20.78,0.09,1.77
无疑,16.63,0.11,1.77
消息,12.47,0.14,1.77
取消,12.47,0.14,1.77
免费,12.47,0.14,1.77
反而,12.47,0.14,1.77
吹,12.47,0.14,1.77
办法,12.47,0.14,1.77
虚位,8.31,0.21,1.76
普遍,8.31,0.21,1.76
盒,8.31,0.21,1.76
刚性,8.31,0.21,1.76
轻松,4.16,0.42,1.76
出风口,12.47,0.14,1.75
营造,4.16,0.42,1.75
重庆,8.31,0.21,1.74
操作,8.31,0.21,1.74
手续,4.16,0.42,1.74
顶,33.25,0.05,1.73
进气,8.31,0.21,1.73
棉,4.16,0.42,1.73
放倒,4.16,0.42,1.73
出彩,4.16,0.42,1.73
最近,45.72,0.04,1.72
中央,8.31,0.21,1.72
开车,29.1,0.06,1.71
双,24.94,0.07,1.71
轮毂,16.63,0.1,1.7
族,4.16,0.41,1.7
注意力,4.16,0.41,1.7
致电,4.16,0.41,1.7
正时,4.16,0.41,1.7
遭遇,4.16,0.41,1.7
粤,4.16,0.41,1.7
扬州,4.16,0.41,1.7
求问,4.16,0.41,1.7
你好,4.16,0.41,1.7
南昌,4.16,0.41,1.7
目前为止,4.16,0.41,1.7
免,4.16,0.41,1.7
没少,4.16,0.41,1.7
